source,allsides_rate,community_rate,community_total,community_agree,community_disagree,community_agree_prop,twitter_handle,twitter_id,twitter_screen_name,twitter_followers_count,twitter_friends_count
The New Yorker,Left,absolutely agree,9863,7945,1918,0.8055358410220014,NewYorker,14677919,NewYorker,9004025,373
RollingStone.com,Left,absolutely agree,2286,1784,502,0.7804024496937882,RollingStone,14780915,RollingStone,6294487,360
MSNBC,Left,absolutely agree,22655,17868,4787,0.7887000662105496,MSNBC,2836421,MSNBC,4088121,766
Vice,Left,absolutely agree,3168,2498,670,0.788510101010101,VICE,23818581,VICE,2043510,10889
New York Magazine,Left,strongly agree,3120,2176,944,0.6974358974358974,NYMag,45564482,NYMag,1816353,910
Slate,Left,strongly agree,11445,8197,3248,0.7162079510703364,Slate,15164565,Slate,1807504,661
BuzzFeed News,Left,strongly agree,29738,21016,8722,0.7067052256372318,BuzzFeedNews,1020058453,BuzzFeedNews,1390932,4769
Daily Beast,Left,strongly agree,22584,16916,5668,0.749025859015232,thedailybeast,16012783,thedailybeast,1321139,1000
The Nation,Left,absolutely agree,1879,1427,452,0.7594465141032464,thenation,1947301,thenation,1281663,8950
AJ+,Left,strongly agree,622,466,156,0.7491961414790996,ajplus,110396781,ajplus,1175410,356
Salon,Left,strongly agree,16664,11498,5166,0.6899903984637542,Salon,16955991,Salon,977476,5810
Mother Jones,Left,absolutely agree,15326,13359,1967,0.871656009395798,MotherJones,18510860,MotherJones,861141,235
The Intercept,Left,absolutely agree,5798,4488,1310,0.774060020696792,theintercept,2329066872,theintercept,859131,361
New York Daily News,Left,strongly agree,2005,1381,624,0.6887780548628429,NYDailyNews,9763482,NYDailyNews,799806,865
ThinkProgress,Left,absolutely agree,3627,2732,895,0.7532395919492694,thinkprogress,55355654,thinkprogress,798970,888
Democracy Now,Left,absolutely agree,14459,11741,2718,0.8120201950342347,democracynow,16935292,democracynow,787133,6543
New York Times (Opinion),Left,absolutely agree,15246,11959,3287,0.784402466220648,nytopinion,16686144,nytopinion,786885,1449
Esquire,Left,strongly agree,1775,1188,587,0.6692957746478874,esquire,20455625,esquire,436887,3512
Jacobin,Left,absolutely agree,1061,852,209,0.8030160226201697,jacobinmag,170254080,jacobinmag,333765,83
Daily Kos,Left,strongly agree,7711,5635,2076,0.7307742186486837,dailykos,20818801,dailykos,292347,6909
